 000000">\n 	 : 1
 GorduraBoa 	 : 1
 Colesterol"}}]},"shortcode":"BnW9w7XgFk8","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536181417,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/2f03bbfb26228ff71b7bd739fa771d6b/5C2C06E1/t51.2885-15/e35/39918959_2317542555134257_6273979392516260955_n.jpg","edge_liked_by":{"count":4},"edge_media_preview_like":{"count":4},"owner":{"id":"1788809554"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/8add216912829c849baadd5f3245e8e3/5C17A15B/t51.2885-15/sh0.08/e35/s640x640/39918959_2317542555134257_6273979392516260955_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/2b6836a60b2cf344e2671c51df2d127e/5C2CD8DE/t51.2885-15/e35/s150x150/39918959_2317542555134257_6273979392516260955_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/24795da6111112f0a4b4a0df83cdfc28/5C373ED8/t51.2885-15/e35/s240x240/39918959_2317542555134257_6273979392516260955_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/5c9377ff2f40d2e1117c6db33a035b3e/5C175BA6/t51.2885-15/e35/s320x320/39918959_2317542555134257_6273979392516260955_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/7cfe64b41e856cfc733cae8a95b1d21b/5C1C93E1/t51.2885-15/e35/s480x480/39918959_2317542555134257_6273979392516260955_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/8add216912829c849baadd5f3245e8e3/5C17A15B/t51.2885-15/sh0.08/e35/s640x640/39918959_2317542555134257_6273979392516260955_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphVideo","id":"1861945388598938604","edge_media_to_caption":{"edges":[{"node":{"text":"Alimenta\\u00e7\\u00e3o 	 : 1
 fitnessdecorpoemente 	 : 1
 esmagaquecresce 	 : 1
 treinopesado 	 : 1
 emagrecer 	 : 1
 e 	 : 1
 abacate\\n#funcional 	 : 1
 saladexlover 	 : 1
 academia 	 : 1
