 000000">\n 	 : 1
 clipesdem\\u00fasica 	 : 1
 sertanejouniversitario 	 : 1
 henriqueejuliano 	 : 1
 ferrugem 	 : 1
 thiaguinho 	 : 1
 dilsinho"}}]},"shortcode":"BnXF_4Dgrt5","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185840,"dimensions":{"height":640,"width":640},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/e476df35a21fdca6af7d4470e7364a89/5B92B13F/t51.2885-15/e35/39011794_283149909080987_344491681513677977_n.jpg","edge_liked_by":{"count":0},"edge_media_preview_like":{"count":0},"owner":{"id":"7507595674"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/e476df35a21fdca6af7d4470e7364a89/5B92B13F/t51.2885-15/e35/39011794_283149909080987_344491681513677977_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/19c26c3a69c0f5dda74c2feda331f95e/5B92BDED/t51.2885-15/e35/s150x150/39011794_283149909080987_344491681513677977_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/81932bdbb9d96e2a7bb2d47c8525d8e2/5B92AF58/t51.2885-15/e35/s240x240/39011794_283149909080987_344491681513677977_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/470b1956b3fe2c896f76b1ae2dca389e/5B92F9E0/t51.2885-15/e35/s320x320/39011794_283149909080987_344491681513677977_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/457f3947cc96541835c75d0c0369773a/5B92E17C/t51.2885-15/e35/s480x480/39011794_283149909080987_344491681513677977_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/e476df35a21fdca6af7d4470e7364a89/5B92B13F/t51.2885-15/e35/39011794_283149909080987_344491681513677977_n.jpg","config_width":640,"config_height":640}],"is_video":true,"video_view_count":0}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984226092424615","edge_media_to_caption":{"edges":[{"node":{"text":"#kisses 	 : 1
 hairstylist 	 : 1
 graduation 	 : 1
 v 	 : 1
 colorful 	 : 1
 out 	 : 1
 potd 	 : 1
 vegetarian 	 : 1
 collection"}}]},"shortcode":"BnXGMnVnp2n","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185838,"dimensions":{"height":309,"width":320},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/2fb749dac57557d40d4a040f356c6631/5C200574/t51.2885-15/e35/40671210_332538660815346_5289445502148079962_n.jpg","edge_liked_by":{"count":0},"edge_media_preview_like":{"count":0},"owner":{"id":"8406479272"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/9ff46ad6ecc977b1b5b49e114222e6ee/5C2AEABF/t51.2885-15/e35/c5.0.309.309/40671210_332538660815346_5289445502148079962_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/4afd1f904985b533ce9b158844d1861f/5C3543D9/t51.2885-15/e35/c5.0.309.309/s150x150/40671210_332538660815346_5289445502148079962_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/b0bf85ab56c2a3013ae20555bb2b387f/5C277A93/t51.2885-15/e35/c5.0.309.309/s240x240/40671210_332538660815346_5289445502148079962_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/9ff46ad6ecc977b1b5b49e114222e6ee/5C2AEABF/t51.2885-15/e35/c5.0.309.309/40671210_332538660815346_5289445502148079962_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/9ff46ad6ecc977b1b5b49e114222e6ee/5C2AEABF/t51.2885-15/e35/c5.0.309.309/40671210_332538660815346_5289445502148079962_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/9ff46ad6ecc977b1b5b49e114222e6ee/5C2AEABF/t51.2885-15/e35/c5.0.309.309/40671210_332538660815346_5289445502148079962_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984218483445439","edge_media_to_caption":{"edges":[{"node":{"text":".\\n.\\n.\\n.\\n.\\n#quotes 	 : 1
 verses"}}]},"shortcode":"BnXGMgQFs6_","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185837,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/781fe306aaf313c613c2253a3175d26c/5C2BF2BA/t51.2885-15/e35/40206126_687178858324591_6035013371673785248_n.jpg","edge_liked_by":{"count":2},"edge_media_preview_like":{"count":2},"owner":{"id":"7945944074"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/01983cf4b65b1cd364d7b6173bc732d2/5C16EB5F/t51.2885-15/sh0.08/e35/s640x640/40206126_687178858324591_6035013371673785248_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/1fa945c4597f5e485214fbe8eaecbdf5/5C2E69F8/t51.2885-15/e35/s150x150/40206126_687178858324591_6035013371673785248_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/fbd18fa5e1d1bdb800e2d463985cea12/5C197EB2/t51.2885-15/e35/s240x240/40206126_687178858324591_6035013371673785248_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/766123db836151f7335ed1f1f63136d1/5C2C9608/t51.2885-15/e35/s320x320/40206126_687178858324591_6035013371673785248_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/d6d3cede7fa1bac70450ec5c6b6ff6d7/5C2DE552/t51.2885-15/e35/s480x480/40206126_687178858324591_6035013371673785248_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/01983cf4b65b1cd364d7b6173bc732d2/5C16EB5F/t51.2885-15/sh0.08/e35/s640x640/40206126_687178858324591_6035013371673785248_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984207392634934","edge_media_to_caption":{"edges":[{"node":{"text":"Pr\\u00e9 	 : 1
 casamento 	 : 1
 blogdenoiva 	 : 1
 vestido 	 : 1
 blogdecasamento 	 : 1
 felicidade 	 : 1
 fotografiacomamor 	 : 1
 photolove 	 : 1
 weddingday 	 : 1
 vestidodenovia 	 : 1
 lavemanoiva 	 : 1
 festa 	 : 1
 buquedenoiva 	 : 1
 weddinginspiration 	 : 1
 findetarde 	 : 1
 lakeandforestcouples"}}]},"shortcode":"BnXGMV7Bng2","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185836,"dimensions":{"height":911,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/a130c93e0cad4a141bd01e444694fc34/5C3B028D/t51.2885-15/e35/40478198_1783850571730086_82363790002696743_n.jpg","edge_liked_by":{"count":2},"edge_media_preview_like":{"count":2},"owner":{"id":"6309030821"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/2b159d3e7bcd5ce10892329024d72aab/5C2F73DF/t51.2885-15/sh0.08/e35/c84.0.911.911/s640x640/40478198_1783850571730086_82363790002696743_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/671cf37980f23ed853c6db62339c0f60/5C19D97E/t51.2885-15/e35/c84.0.911.911/s150x150/40478198_1783850571730086_82363790002696743_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/6ed829fe2fc912117879bddea7be6d1a/5C27E4CB/t51.2885-15/e35/c84.0.911.911/s240x240/40478198_1783850571730086_82363790002696743_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/2525087d8fc212682b8427bcd8eeda68/5C35A473/t51.2885-15/e35/c84.0.911.911/s320x320/40478198_1783850571730086_82363790002696743_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/682e116bbf69e0fafb14dda0e5bd7feb/5C21822F/t51.2885-15/e35/c84.0.911.911/s480x480/40478198_1783850571730086_82363790002696743_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/2b159d3e7bcd5ce10892329024d72aab/5C2F73DF/t51.2885-15/sh0.08/e35/c84.0.911.911/s640x640/40478198_1783850571730086_82363790002696743_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984194760524410","edge_media_to_caption":{"edges":[{"node":{"text":"\\ud83d\\ude0d 	 : 1
 cool 	 : 1
 colors 	 : 1
 estilo 	 : 1
 dise\\u00f1o 	 : 1
 textile 	 : 1
 top 	 : 1
 arte 	 : 1
 colores 	 : 1
 textles 	 : 1
 style 	 : 1
 design 	 : 1
 deco"}}]},"shortcode":"BnXGMKKF8J6","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185834,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/c86e6692f98b41833ac32bcbf7f926d4/5C2157EF/t51.2885-15/e35/39952587_2088355091208615_6579484944402512417_n.jpg","edge_liked_by":{"count":3},"edge_media_preview_like":{"count":3},"owner":{"id":"6141236357"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/60963867489f74927e6a3c7360f63668/5C1EBB55/t51.2885-15/sh0.08/e35/s640x640/39952587_2088355091208615_6579484944402512417_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/89fca1cbfb5fe8eec5045b4efca541f4/5C21ADD0/t51.2885-15/e35/s150x150/39952587_2088355091208615_6579484944402512417_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/23ad1d177a3c594b84deb64c8ada6310/5C213BD6/t51.2885-15/e35/s240x240/39952587_2088355091208615_6579484944402512417_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/0179cfd43d9b5945b99712a59672ed72/5C32CFA8/t51.2885-15/e35/s320x320/39952587_2088355091208615_6579484944402512417_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/a6efa3b9e059760a895bfe981faaaf84/5C2239EF/t51.2885-15/e35/s480x480/39952587_2088355091208615_6579484944402512417_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/60963867489f74927e6a3c7360f63668/5C1EBB55/t51.2885-15/sh0.08/e35/s640x640/39952587_2088355091208615_6579484944402512417_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984163303626168","edge_media_to_caption":{"edges":[{"node":{"text":"Fa\\u00e7a 	 : 1
 certeza 	 : 1
 gra\\u00e7a 	 : 1
 verdade 	 : 1
 outfitdaline 	 : 1
 looknolook 	 : 1
 ver\\u00e3o 	 : 1
 lindo 	 : 1
 eurotrip 	 : 1
 paisagem 	 : 1
 foto 	 : 1
 pic 	 : 1
 portrait 	 : 1
 pretty 	 : 1
 sun 	 : 1
 calor 	 : 1
 england 	 : 1
 inglaterra"}}]},"shortcode":"BnXGLs3HZW4","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185830,"dimensions":{"height":1350,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/562362ed44ac06042ad64f88ce823f35/5C23BBD7/t51.2885-15/e35/40612437_618411445220699_3723325733943892590_n.jpg","edge_liked_by":{"count":3},"edge_media_preview_like":{"count":3},"owner":{"id":"242612519"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/31f7fa47e94d06237bc6682d939c163a/5C16E294/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/40612437_618411445220699_3723325733943892590_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/a9687bc45fdf88863de0c62ef01a1c2e/5C36048F/t51.2885-15/e35/c0.135.1080.1080/s150x150/40612437_618411445220699_3723325733943892590_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/7f000afbad5146b2bdf3cbbf66e86934/5C3A33C5/t51.2885-15/e35/c0.135.1080.1080/s240x240/40612437_618411445220699_3723325733943892590_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/e4a0d9df21cba8b963e2848bea8438e7/5C27DD7F/t51.2885-15/e35/c0.135.1080.1080/s320x320/40612437_618411445220699_3723325733943892590_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/9bb95fec7a17096d9de6fa2ce039aac9/5C358D25/t51.2885-15/e35/c0.135.1080.1080/s480x480/40612437_618411445220699_3723325733943892590_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/31f7fa47e94d06237bc6682d939c163a/5C16E294/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/40612437_618411445220699_3723325733943892590_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984152717242500","edge_media_to_caption":{"edges":[{"node":{"text":"Achei 	 : 1
 noite 	 : 1
 saopaulo 	 : 1
 sp 	 : 1
 modafeminina 	 : 1
 oculos 	 : 1
 rayban 	 : 1
 moto 	 : 1
 motocross 	 : 1
 cerveja 	 : 1
 goodvibes 	 : 1
 segundosol 	 : 1
 euteamo"}}]},"shortcode":"BnXGLjAHjCE","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185829,"dimensions":{"height":1350,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/8cbb613eb0a26e72fbd31a48d56f8377/5C26CF27/t51.2885-15/e35/40486986_2156151967793355_6069251746586567858_n.jpg","edge_liked_by":{"count":1},"edge_media_preview_like":{"count":1},"owner":{"id":"4120591315"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/4b5329df2658699728a9d6589d7b14a3/5C298BBF/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/40486986_2156151967793355_6069251746586567858_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/e96d5e79443403a21efd5c45d2111f79/5C14A628/t51.2885-15/e35/c0.135.1080.1080/s150x150/40486986_2156151967793355_6069251746586567858_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/462fdfa42787fbda68e55c6db88e35b3/5C23CE2E/t51.2885-15/e35/c0.135.1080.1080/s240x240/40486986_2156151967793355_6069251746586567858_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/3683af85d328fecda48a98c6d17e3aaa/5C2D3450/t51.2885-15/e35/c0.135.1080.1080/s320x320/40486986_2156151967793355_6069251746586567858_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/a3eb2b9d8ef1337a10d9d4bb1e0bee22/5C312B17/t51.2885-15/e35/c0.135.1080.1080/s480x480/40486986_2156151967793355_6069251746586567858_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/4b5329df2658699728a9d6589d7b14a3/5C298BBF/t51.2885-15/sh0.08/e35/c0.135.1080.1080/s640x640/40486986_2156151967793355_6069251746586567858_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984140157857295","edge_media_to_caption":{"edges":[{"node":{"text":"Se 	 : 1
 lanches 	 : 1
 por\\u00e7\\u00f5es 	 : 1
 saladas 	 : 1
 chop 	 : 1
 batatafrita 	 : 1
 teleentrega 	 : 1
 delivery 	 : 1
 navegantes 	 : 1
 itajai 	 : 1
 saodomingos 	 : 1
 machados 	 : 1
 comidaboa 	 : 1
 alimenta\\u00e7\\u00e3o 	 : 1
 delicias 	 : 1
 carinho 	 : 1
 aten\\u00e7\\u00e3o 	 : 1
 comer 	 : 1
 hamburguer 	 : 1
 pao 	 : 1
 balneariocamboriu 	 : 1
 centro 	 : 1
 instafood"}}]},"shortcode":"BnXGLXThS4P","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185828,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/ca3cb7bc709e1b7a180a394ab4c6d263/5C283C95/t51.2885-15/e35/41099472_557734977978205_3281690237082402289_n.jpg","edge_liked_by":{"count":0},"edge_media_preview_like":{"count":0},"owner":{"id":"5846327513"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/d20f4dadbf90d3e13b1574e337402e9c/5C30DB70/t51.2885-15/sh0.08/e35/s640x640/41099472_557734977978205_3281690237082402289_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/a18991f928c0398f93a3343db3710953/5C28FCD7/t51.2885-15/e35/s150x150/41099472_557734977978205_3281690237082402289_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/ea6bb29b3c993be799300974227622b6/5C2AF19D/t51.2885-15/e35/s240x240/41099472_557734977978205_3281690237082402289_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/0585e6d3e9afaf986b7b21094f8cdb0f/5C153227/t51.2885-15/e35/s320x320/41099472_557734977978205_3281690237082402289_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/8de558e225b897622b260a987065e9c0/5C1E667D/t51.2885-15/e35/s480x480/41099472_557734977978205_3281690237082402289_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/d20f4dadbf90d3e13b1574e337402e9c/5C30DB70/t51.2885-15/sh0.08/e35/s640x640/41099472_557734977978205_3281690237082402289_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984139411425994","edge_media_to_caption":{"edges":[{"node":{"text":"Dia 	 : 1
 paciencia 	 : 1
 instabrothers 	 : 1
 brothers 	 : 1
 love"}}]},"shortcode":"BnXGLWnB4rK","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185828,"dimensions":{"height":640,"width":640},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/2027331c6336aee959df6c14e5968b2d/5C1F8C51/t51.2885-15/e35/39958955_369116406962041_7012801688713035776_n.jpg","edge_liked_by":{"count":2},"edge_media_preview_like":{"count":2},"owner":{"id":"1057271146"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/2027331c6336aee959df6c14e5968b2d/5C1F8C51/t51.2885-15/e35/39958955_369116406962041_7012801688713035776_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/fda3564268ac15f4850c18fab96fd42c/5C18B413/t51.2885-15/e35/s150x150/39958955_369116406962041_7012801688713035776_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/3768e29205ad0719ef09307284168154/5C173659/t51.2885-15/e35/s240x240/39958955_369116406962041_7012801688713035776_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/290f66c5ede9cb5c01e4b8078ab46f91/5C1CD7E3/t51.2885-15/e35/s320x320/39958955_369116406962041_7012801688713035776_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/7a0e7e5ada4dc90503798872206d6807/5C21E1B9/t51.2885-15/e35/s480x480/39958955_369116406962041_7012801688713035776_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/2027331c6336aee959df6c14e5968b2d/5C1F8C51/t51.2885-15/e35/39958955_369116406962041_7012801688713035776_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984127576544790","edge_media_to_caption":{"edges":[{"node":{"text":"\\"De 	 : 1
 amor. 	 : 1
 Papai 	 : 1
 irm\\u00e3zinha. 	 : 1
 ParaSempre. 	 : 1
 conquista. 	 : 1
 orgulho 	 : 1
 irm\\u00e3, 	 : 1
 brava 	 : 1
 hero\\u00edna. 	 : 1
 Deus 	 : 1
 mundo 	 : 1
 pensamentos.\\n\\n#TeAmo!"}}]},"shortcode":"BnXGLLlnZYW","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185826,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/74e11bc226b6240729a31790133d3716/5C283699/t51.2885-15/e35/39954416_544203222682910_1976683686239748530_n.jpg","edge_liked_by":{"count":1},"edge_media_preview_like":{"count":1},"owner":{"id":"262440031"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/ee01ace0b94083499f83ef67560ce427/5C38087C/t51.2885-15/sh0.08/e35/s640x640/39954416_544203222682910_1976683686239748530_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/343f6980582d870367f930aeef677711/5C2EFDDB/t51.2885-15/e35/s150x150/39954416_544203222682910_1976683686239748530_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/94a72cb2ff2ddcd809900bbc73d4be92/5C2D0091/t51.2885-15/e35/s240x240/39954416_544203222682910_1976683686239748530_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/216940abc0dba94bbf2d3f7c259d9345/5C33B52B/t51.2885-15/e35/s320x320/39954416_544203222682910_1976683686239748530_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/c9a6edc2ac272c43ffc869e8f5567e8f/5C2A8B71/t51.2885-15/e35/s480x480/39954416_544203222682910_1976683686239748530_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/ee01ace0b94083499f83ef67560ce427/5C38087C/t51.2885-15/sh0.08/e35/s640x640/39954416_544203222682910_1976683686239748530_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984117391281976","edge_media_to_caption":{"edges":[{"node":{"text":"@mrwandererr\\n.\\n#amor 	 : 1
 photography_aks"}}]},"shortcode":"BnXGLCGhs84","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185825,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/4d79d5b09c288d92bb24d693afacff88/5C26D1CB/t51.2885-15/e35/40399776_314177212463432_5477761964136230665_n.jpg","edge_liked_by":{"count":2},"edge_media_preview_like":{"count":2},"owner":{"id":"7590944431"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/0904d95084271a27326e67d6c07268c2/5C27CC2E/t51.2885-15/sh0.08/e35/s640x640/40399776_314177212463432_5477761964136230665_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/b07baff5cd4f92d5531e8ec930565a4d/5C1FA689/t51.2885-15/e35/s150x150/40399776_314177212463432_5477761964136230665_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/f32e63793f71c394e6e26efacd73742d/5C20A6C3/t51.2885-15/e35/s240x240/40399776_314177212463432_5477761964136230665_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/0f2b2f4d877c755807277967c2a6a828/5C14DE79/t51.2885-15/e35/s320x320/40399776_314177212463432_5477761964136230665_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/85f1358f619a3f8cd5fc9462d242458d/5C225823/t51.2885-15/e35/s480x480/40399776_314177212463432_5477761964136230665_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/0904d95084271a27326e67d6c07268c2/5C27CC2E/t51.2885-15/sh0.08/e35/s640x640/40399776_314177212463432_5477761964136230665_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984115497042940","edge_media_to_caption":{"edges":[{"node":{"text":"Fruto 	 : 1
 minhavida 	 : 1
 paternidadereal 	 : 1
 maternidadereal 	 : 1
 casaisemfotos 	 : 1
 casais 	 : 1
 casamento"}}]},"shortcode":"BnXGLAVnwP8","edge_media_to_comment":{"count":0},"taken_at_timestamp":1536185825,"dimensions":{"height":1080,"width":1080},"display_url":"https://scontent-gru2-2.cdninstagram.com/vp/b4e50a9f80029444fab6283d00f8faa8/5C1A4795/t51.2885-15/e35/41152739_313817252531074_9189250869077352645_n.jpg","edge_liked_by":{"count":4},"edge_media_preview_like":{"count":4},"owner":{"id":"363134171"},"thumbnail_src":"https://scontent-gru2-2.cdninstagram.com/vp/117134deb53b53028e9d099b48290ddf/5C3B7D70/t51.2885-15/sh0.08/e35/s640x640/41152739_313817252531074_9189250869077352645_n.jpg","thumbnail_resources":[{"src":"https://scontent-gru2-2.cdninstagram.com/vp/30091c4804c8aa2eaea6a831f38f8b0c/5C1642D7/t51.2885-15/e35/s150x150/41152739_313817252531074_9189250869077352645_n.jpg","config_width":150,"config_height":150},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/6beea99577fd0ed793f9573ce554fc90/5C1A0B9D/t51.2885-15/e35/s240x240/41152739_313817252531074_9189250869077352645_n.jpg","config_width":240,"config_height":240},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/e574e87e346cff0637ad1ab51471ea33/5C24E927/t51.2885-15/e35/s320x320/41152739_313817252531074_9189250869077352645_n.jpg","config_width":320,"config_height":320},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/125c8bda088a73a3e25225fa9f9abfa9/5C17477D/t51.2885-15/e35/s480x480/41152739_313817252531074_9189250869077352645_n.jpg","config_width":480,"config_height":480},{"src":"https://scontent-gru2-2.cdninstagram.com/vp/117134deb53b53028e9d099b48290ddf/5C3B7D70/t51.2885-15/sh0.08/e35/s640x640/41152739_313817252531074_9189250869077352645_n.jpg","config_width":640,"config_height":640}],"is_video":false,"accessibility_caption":null}},{"node":{"comments_disabled":false,"__typename":"GraphImage","id":"1861984106410624202","edge_media_to_caption":{"edges":[{"node":{"text":"Tan 	 : 1
